Từng cặp một	一一对
Có thể tiếp cận với Ben	可向本
Có thể tiếp cận với kinh	可向经
Nghe được	可听声
Khả năng nghe	可听性
Có thể hít vào	可吸入
Khả năng bán hàng	可售性
Tỷ lệ bán được	可售率
Có thể mua	可商购
Có thể trả lời	可回复
Có thể tái chế	可回收
Có thể nuôi trong	可在养
Tính khả dụng	可在性
Có thể kể đến	可在数
Có thể sử dụng trong dễ dàng	可在易
Có thể sử dụng trong phẫu thuật	可在术
Có thể trong thời gian	可在次
Có thể trong cuộc sống	可在生
Có thể tiếp tục	可在续
Có mặt tại lễ hội	可在节
Có mặt tại bàn	可在表
Tính dẻo	可塑性
Khả năng tái tạo	可复性
Nghỉ ngơi nhiều lần	可多休
Nhưng có rất nhiều.	可大有
Có thể thắng lớn	可大获
Có thể xác định	可定义
Có thể chịu đựng được	可容忍
Có thể nhận biết được	可察觉
Có thể nắm giữ	可对持
Có thể kể đến điều này.	可对本
Có thể đối phó với kinh	可对经
Có thể căn chỉnh bảng	可对表
Có thể đối diện với cơ thể	可对身
Thời gian có thể tìm thấy	可寻时
đáng trân trọng.	可尊敬
Nó có thể nhỏ như	可小至
Khả năng sinh sống	可居性
Khả năng mở rộng	可展性
Có thể mở rộng và tiếp tục	可展续
Có thể kéo dài	可延长
Có thể xây dựng đất	可建地
Loại dùng một lần	可弃式
Có thể xếp vào nhóm	可归为
Có thể trở lại	可归到
Có thể tính được	可归算
Có thể đổ lỗi cho	可归罪
Có thể trả lại	可归还
Có thể chinh phục	可征服
Chịu thuế	可征税
Codeine	可待因
Có sẵn và	可得且
Có sẵn	可得供
Kedlan	可得兰
Có thể lấy lưới	可得净
Sự sẵn có	可得性
Tỷ lệ sẵn có	可得率
Kinh nghiệm sẵn có	可得经
Có thể lấy hoa	可得花
Số lượng sẵn có	可得量
Khả năng phân biệt	可微性
Có thể chịu đựng được	可忍受
Con sâu tội nghiệp	可怜虫
Tính dễ hiểu	可懂度
Có thể định hình	可成形
Cotolone	可托龙
Có thể kiềm chế	可抑制
Có thể gập lại	可折叠
Có thể giải cứu	可抢救
Có thể xóa	可抹掉
Có thể hút được	可抽吸
Có thể tháo rời	可拆卸
Có thể kéo ra	可拉出
Có thể chụp ảnh	可拍照
Có thể quay số	可拨出
Có thể gọi	可拨打
Có thể cầm cự được.	可持式
Kinh tế bền vững	可持经
Có thể phục hồi	可挽回
Sản lượng đánh bắt được	可捕量
Lưỡi dao có thể thay đổi	可换刃
Khả năng kiểm soát	可控性
Thyristor	可控硅
Có thể suy ra	可推断
Di động	可携式
Tính di động	可携性
Có thể rút lại	可撤回
Có thể chơi	可播放
Có thể thao tác	可操纵
Có thể xóa sạch	可擦掉
Có thể leo lên	可攀登
Có thể thu hồi	可收回
Khả năng giảng dạy	可教性
Không xâm lấn	可无创
Có thể thay đổi	可更改
Có thể có độ dài	可有长
Nhưng văn phòng này	可本处
Máy đọc được	可机读
Khả năng nhuộm	可染性
Khả năng kiểm tra	可查性
Có thể xác minh được	可核证
Khả năng kiểm tra	可检性
Có thể bắt chước	可模仿
Khả năng so sánh	可比性
Có thể oxy hóa	可氧化
Có thể hóa hơi	可汽化
Ke Sham.	可沙姆
Có thể tịch thu	可没收
Có thể rút ra	可沥出
Có thể chữa khỏi	可治外
Khả năng chữa bệnh	可治性
Khả năng bơm	可泵性
Có thể đo lường và	可测且
Khả năng kiểm tra	可测性
Khả năng nổi	可浮性
Có thể tiêu hóa được.	可消化
Có thể hóa lỏng	可液化
Khả năng thẩm thấu	可渗透
Khả năng thấm ướt	可湿性
Hòa tan trong	可溶性
Hòa tan	可溶解
Có thể trượt ra ngoài	可滑出
Có thể lọc	可滤取
Khả năng lọc	可滤性
Có thể lặn xuống	可潜至
Có thể bất hoạt	可灭活
Có thể gọi món	可点餐
Khả năng hàn	可焊性
Tính dễ cháy	可燃性
Vật liệu dễ cháy	可燃物
Khả năng chơi	可玩性
Lớp học có thể chơi được	可玩类
Corryl Este	可瑞酯
Tính khả dụng	可用性
Có thể do trên	可由上
Có thể theo dõi	可由下
Có thể được sử dụng như	可由为
Có thể được sử dụng bởi	可由以
Có thể chờ đợi	可由候
Có thể bằng ánh sáng	可由光
Có thể do lực lượng	可由力
Có thể do nguyên	可由原
Có thể do quận	可由县
Có thể nhận được	可由受
Có thể được thực hiện bởi cùng một	可由同
Công thức có thể sử dụng	可由式
Có thể được thực hiện bởi	可由拟
Có thể do mới	可由新
Có thể do có	可由有
Có thể do không	可由未
Có thể được điều chỉnh bởi điều này	可由本
Có thể bằng cọc	可由桩
Có thể so sánh	可由比
Có thể do nhóm	可由组
Có thể do kinh	可由经
Có thể cắt	可由裁
Có thể được thiết lập bởi	可由设
Có thể được thực hiện bởi	可由该
Có thể so sánh	可由较
Có thể do gần	可由近
Có thể chia	可由除
Có thể do không	可由非
Có thể làm từ cây gai dầu	可由麻
Có thể giữ lại	可留交
Một cách đáng ngờ.	可疑地
Có thể đăng nhập	可登入
Có thể đăng ký	可登记
Cortisone	可的松
Khả năng nhìn thấy	可看性
Khả năng nhận biết	可知性
Có thể ngắn hơn	可短于
Khả năng phân mảnh	可碎性
Khả năng mài mòn	可磨性
Có thể rời khỏi Hồng Kông	可离港
Kê Kê với	可科以
Chi cục Kế	可科处
Lĩnh vực tích lũy	可积场
Tính tích hợp	可积性
Họ tích hợp	可积族
Cấy ghép	可移植
Có thể thâm nhập	可穿透
Có thể quyên góp được	可筹得
Có thể đơn giản hóa	可简化
Có thể tính như	可算为
Có thể tính toán được	可算出
Có thể sửa chữa	可纠正
Có thể rút gọn	可约化
Khả năng thu gọn	可约性
Khả năng phân cấp	可级度
Khả năng kéo sợi	可纺性
Có thể giải tỏa	可纾缓
Có thể qua đường miệng	可经口
Tính bền vững	可续性
Có thể giảm nhẹ	可缓和
Có thể lập trình	可编程
Kenef	可耐夫
Knauf	可耐福
Đất canh tác	可耕地
Khả năng canh tác	可耕性
Có thể canh tác	可耕用
Trứng có khả năng sinh sản	可育卵
Khả năng sinh sản	可育性
Thời kỳ sinh sản	可育期
Cây màu mỡ	可育株
Tỷ lệ sinh sản	可育率
Khả năng	可能性
Có thể tháo rời	可脱式
Khả năng tháo rời	可脱性
Có thể từ dưới	可自下
Có thể kể ra từ	可自其
Tùy chỉnh	可自定
Có thể tự	可自本
Có thể kích hoạt	可致动
Có thể gây dị ứng	可致敏
Coretta.	可莱塔
Khả năng ăn mòn	可蚀性
Tính khả thi	可行性
Có thể ghi đè	可覆写
Ánh sáng nhìn thấy	可见光
Tầm nhìn	可见度
Hình dung	可视化
Khả năng hiển thị	可视性
Có thể tính như	可计作
Có thể đếm được	可计数
Có thể ghi nhận như	可记作
Khả năng tiếp cận	可访度
Khả năng tiếp cận	可访性
Có thể khẳng định	可证实
Khả năng chứng minh	可证性
Có thể kiện tụng	可诉讼
Có thể nói đây là	可说是
Có thể thuyết phục được	可说服
Khả năng đọc	可读性
Có thể điều chỉnh	可调式
Nhưng Google	可谷歌
Đáng trách	可责备
Những mảnh đất có giá trị	可贵地
Giá trị	可贵性
Có thể sử dụng	可资非
Trái phiếu chuyển đổi	可转债
Có thể liệt kê	可载列
Có thể nhận biết được	可辨认
Có thể bảo vệ	可辩护
Có thể tranh luận	可辩论
Khu vực có thể tiếp cận	可达区
Có thể lên tới nửa	可达半
Dazol có thể đạt được	可达唑
Biểu đồ có thể tiếp cận	可达图
Những con vật có thể đạt được	可达子
Khả năng tiếp cận	可达性
Có thể lên tới con số	可达数
Phương pháp tiếp cận	可达方
Nước có thể tiếp cận	可达水
Điểm tiếp cận	可达点
Tỷ lệ tiếp cận	可达率
Có thể tiếp cận với kinh	可达经
Có thể lên tới gần	可达近
Bộ có thể tiếp cận	可达集
Có thể vận chuyển	可运到
Có thể chọn lại	可连选
Có thể nộp muộn	可迟交
Kê Diệm	可迪姆
Truy xuất nguồn gốc	可追溯
Có thể truy xuất nguồn gốc	可追踪
Có thể trả lại	可退回
Khả năng đảo ngược	可逆性
Tùy chọn như	可选为
Tùy chọn	可选地
Tùy chọn	可选性
Kinh tùy chọn	可选经
Tùy chọn từ	可选自
Tùy chọn	可选项
Tính thấm	可透性
Tùy từng trường hợp	可逐案
Kerima.	可里玛
Có thể lấy lại	可重获
Có thể nghe thấy	可闻及
Có thể phân hủy	可降解
Độ tin cậy	可靠性
Có thể trả trước	可预付
Thời kỳ ăn được	可食期
Ăn được	可食用
Có thể uống được	可饮用
Bão hòa	可饱和
Có thể kiểm chứng	可验证
Có thể cao tới	可高至
Có thể lên đến	可高达
Có thể cao hơn	可高过
Ngụ ý	可默示
Huyện Đài Đông	台东县
Thành phố Đài Đông	台东市
Thành phố Đài Trung	台中市
Mục đích chính của trạm	台主用
Đảo Taibo	台伯岛
Sông Tiber	台伯河
Thành phố Đài Bắc	台北市
Huyện Đài Nam	台南县
Thành phố Đài Nam	台南市
Đài Loan nhiều ống	台多管
Lễ hội Tủa Chùa	台头节
Trên bàn	台子上
Kho lưu trữ của Đài	台存库
Tellman.	台尔曼
Thành phố Taizhou	台州市
Máy tính để bàn	台式机
Các nhà chức trách Đài Loan	台当局
Tellal	台拉勒
Sông Tài La	台拉河
Tập đoàn Taira	台拉组
Tapton	台普顿
Người Đài Loan	台湾人
Đảo Đài Loan	台湾岛
Tỉnh Đài Loan	台湾省
Quốc tịch Đài Loan	台湾籍
Đường phố Đài Loan	台湾街
Đội tuyển Đài Loan	台湾队
Hội trường bida	台球厅
Phòng chơi bia	台球室
Bàn billiards	台球桌
Đài Loan để dành cho	台留作
Đài Loan cũ kỹ	台老旧
Giấy chứng nhận đồng hương Đài Loan	台胞证
Loại bậc thang	台阶式
Teres.	台雷斯
Stinson.	史丁森
Stoner.	史东纳
Trung bình trong lịch sử	史中均
Stanley.	史丹利
Stanford.	史丹福
Shi Jiuyong	史久镛
Trước đây, Shk	史克前
Shrek đã bị ảnh hưởng bởi	史克因
SKKK mới	史克新
Shk có	史克有
Trường hợp của Shk	史克案
Shi Ke đang	史克正
Shk cho biết	史克称
Shi Ke kể từ khi	史克自
Shk cho biết	史克说
Tiền sử	史前史
Shi Kendo	史剑道
Snookie.	史努基
Snoop	史努普
Snoopy.	史努比
Stroman.	史卓曼
Lịch sử có thể chấp nhận được	史可受
Stens.	史坦斯
Stent.	史坦特
Steiner.	史坦纳
Stanton.	史坦顿
Schiphol	史基浦
Stabo.	史塔波
Hội Sử học	史学会
Nhà sử học	史学家
Spenker.	史宾克
Spinner.	史宾纳
Smith.	史密思
Smith	史密斯
Smithsonian	史密森
Schmidt.	史密特
Smitty.	史密蒂
Smitton.	史密顿
Steve.	史帝夫
Shi Deyun	史德云
Schweitzer	史怀哲
Stosh.	史托什
Swinburne	史文朋
Spooner.	史普纳
Cá tầm	史氏鲟
Spock.	史波克
Styron.	史泰伦
Staples.	史泰博
Steiger.	史泰格
Stetson.	史泰臣
Steichen.	史泰辰
Steichen	史泰钦
Staten.	史泰顿
Stallone.	史泰龙
Swinney.	史温尼
Thông minh	史玛特
Shrea.	史瑞亚
Shrek.	史瑞克
Shreif.	史瑞夫
Schwarzschild	史瓦西
Smaug	史矛革
Shi Lirong	史立荣
Stryker.	史翠克
Streisand.	史翠珊
Shi Yaobin	史耀斌
Scottrade.	史考特
Smock.	史莫克
Shrek.	史莱克
Slim	史莱姆
Sfetty	史菲蒂
Steve.	史蒂夫
Steven.	史蒂文
Stevie.	史蒂维
Stephen.	史蒂芬
Vở kịch sử thi	史诗剧
Sử thi	史诗性
Một bộ phim sử thi	史诗片
Statz.	史达兹
Stalin.	史达林
Smythe.	史迈斯
Stilwell	史迪威
Stuart.	史都华
Scooby	史酷比
Skinny.	史金尼
Shreem	史雷姆
Smeagol.	史麦戈
Stace.	史黛丝
Stella.	史黛拉
Stefoe.	史黛福
Steffi.	史黛菲
Stacey.	史黛西
Ảnh trên bên phải	右上图
Phía trên bên phải	右上方
Góc trên bên phải	右上角
Phía dưới bên phải	右下侧
Khu vực phía dưới bên phải	右下区
Loại dưới bên phải	右下型
Phía dưới bên phải	右下方
Cánh tay dưới bên phải	右下臂
Góc dưới bên phải	右下角
Giữa và dưới bên phải	右中下
Phải trung tâm phải	右中右
Thứ hai từ phải sang là	右二为
Thứ hai từ phải sang là	右二是
Chuyển sang bên phải	右倾化
Vạt vành phải	右冠瓣
Tay thuận tay phải	右利手
Quét vé bên phải	右刷票
Tiền vệ phải	右前卫
Phía trước bên phải	右前方
Tiền đạo phải	右前锋
Bán cầu não phải	右半球
Nửa bên phải	右半部
Bên phải	右双侧
Dưới thùy phải	右叶下
Phía sau thùy phải	右叶后
Hậu vệ phải	右后卫
Phía sau bên phải	右后方
Mở rộng bên phải	右外展
Cánh tay phải	右头臂
Phải Nikki.	右妮基
Bắp chân phải	右小腿
Tâm thất phải	右心室
Tâm nhĩ phải	右心房
Bệnh tim phải	右心症
Cạnh trái tim bên phải	右心缘
Khoang tim phải	右心腔
Mặt trận cắt phải	右截锋
Lòng bàn tay phải	右手掌
Bên phải	右手边
Thuận tay phải	右撇子
Vùng chẩm phải	右枕区
Gối phải	右枕部
Khớp cắn bên phải	右牙合
Bên trong gan phải	右肝内
Thùy gan phải	右肝叶
Ống gan phải	右肝管
Khu vực bên phải	右胁区
Bên phải	右胁部
Trước xương chày phải	右胫前
Bên bụng phải	右腹侧
Nụ bụng phải	右腹芽
Đầu gối phải	右膝盖
Trên móng phải	右蹄上
Tiền vệ cánh phải	右边锋
Khu vực cánh đồng bên phải	右野区
Bên ngoài cổ phải	右颈外
Đau cổ phải	右颈痛
Dưới hàm phải	右颌下
Vùng trán phải	右额区
Trán phải	右额部
Mặt dưới của lá	叶下侧
Phyllanthus vulgaris	叶下珠
Ye Li Ruồi	叶丽蝇
Ye Shuhua	叶书华
Cây vân sam lá	叶云杉
Đội Ip Man	叶人队
Ye Weixin	叶伟信
Yellen cho biết	叶伦说
Ông Diệp	叶先生
Tán lá	叶冠层
Yereva	叶列娃
Yelic	叶利奇
Yelich.	叶利希
Yeliza.	叶利扎
Yeltsin	叶利钦
Ye Jianying	叶剑英
Yekager	叶卡捷
Ye Yuanki	叶原基
Ye Qihui	叶启辉
Ye và trước đây	叶和前
Lá và rễ	叶和根
Lá và màu xanh	叶和绿
Lá và hoa	叶和花
Lá và chồi	叶和芽
Lá và thân	叶和茎
Ye Pinxiu	叶品秀
Ye Guocheng	叶国成
Ye Guodong	叶国栋
Lá có thể	叶均可
Phần gốc lá	叶基部
Yetagan	叶塔根
Yesenin	叶塞宁
Diệp Vấn.	叶多芬
Lá to	叶大叶
Sơ đồ Diệp Vấn	叶夫图
Yevpa	叶夫帕
Yevtier.	叶夫捷
Yevgen	叶夫根
Đội Yev	叶夫队
Sự hợp nhất của lá	叶实变
Yerma	叶尔玛
Yelkin	叶尔金
Yelchin	叶尔钦
Yerma	叶尔马
Lốc xoáy đầu lưỡi	叶尖涡
Yenisch	叶尼施
Jethro.	叶忒罗
Ye Huiyuan	叶惠元
Ye Huiwen	叶惠文
Ye Wensen	叶文森
Bệnh đốm lá	叶斑病
Ye Chunlin	叶春林
Ye Chen Han	叶晨汉
Bệnh cháy lá	叶枯病
Trên tầng thác	叶栅上
Trong dòng thác	叶栅中
Các tầng được	叶栅为
Bên trong tầng	叶栅内
Lưỡi thác	叶栅叶
Các tầng trong	叶栅在
Mở rộng tầng	叶栅扩
Rừng sồi lá	叶栎林
Yeboa	叶波亚
Yahya	叶海亚
Nguồn gốc từ lá	叶源性
Bơm cánh gạt	叶片泵
Phyllostachys	叶状体
Củ cải lá	叶甜菜
Diệp Phủ Gai	叶甫盖
Trong số các loài bọ cánh cứng lá	叶甲中
Phyllanthus	叶甲属
Họ Phyllostachys	叶甲科
Phyllostatin	叶甲素
Ye Liuxi	叶留西
Phương pháp đĩa lá	叶盘法
Phyllanthus	叶盘藻
Yerlid.	叶立德
Yemini.	叶米尼
Diệp Viên	叶维恩
Lục lạp	叶绿体
Chất diệp lục	叶绿素
Axit diệp lục	叶绿酸
Yelofe	叶罗费
Yehuda	叶胡达
Bệnh thối lá	叶腐病
Yesuya.	叶舒亚
Tỷ lệ hoa lá	叶花率
Họ lá	叶草科
Yellaini.	叶莱妮
Các loại rau ăn lá	叶菜类
Dầu rêu lá	叶藓油
Họ Phyllostachys	叶藻科
Pyrophyllite	叶蜡石
Họ ve sầu	叶蝉科
Tetranychus là	叶螨为
Tetranyidae	叶螨科
Loại cánh quạt	叶轮式
Yelena.	叶连娜
Phenoacyl đa	叶酰多
Viên axit folic	叶酸片
Bệnh gỉ sắt lá	叶锈病
Tĩnh mạch cửa	叶门脉
Ye Xuehua	叶雪华
Diện tích lá	叶面积
Phân bón lá	叶面肥
Yemani.	叶马尼
Vảy lá	叶鳞咽
Vảy lá tròn	叶鳞圆
Vảy lá	叶鳞状
Cây hoàng dương lá	叶黄杨
Lutein	叶黄素
Dơi mũi lá	叶鼻蝠
Trên đám mây.	号云上
Sức hấp dẫn	号召力
Số Lâm Vũ.	号林伍
Gọi là Berguys.	号柏忌
Số Greing.	号格陵
Điểm ranh giới số	号界点
Biển số	号码牌
Không, Sam.	号萨姆
Không, Samu.	号萨穆
Trong bảng số	号表中
Tiếng kèn	号角声
Tại cửa số	号门处
Khi cửa số	号门时
Bí thư thứ nhất	司一秘
Bí thư thứ ba của Sư đoàn	司三秘
Sư đoàn không nên	司不应
Sư đoàn và các em nhỏ	司与儿
Phân ban và Phân ban	司与司
Stanto.	司丹托
Sĩ Lê Văn	司乐文
Bí thư thứ hai của Sư đoàn	司二秘
Chỉ huy trưởng	司令员
Chỉ huy trưởng	司令官
Bộ Tư lệnh	司令部
Xin đồng chí Bí thư	司共请
Giám đốc điều hành	司务长
Scullough.	司卡洛
Công ty có thể cung cấp cho	司可为
Scoba.	司可巴
Scott.	司各特
Phân ban và Phân ban	司和分
Bộ phận và Văn phòng	司和厅
Phòng, ban	司和处
Vụ và Cục	司和局
Vụ và có	司和有
Phân ban và phân ban	司和次
Bộ phận và Bộ phận	司和科
Các bộ phận, đơn vị	司和股
Phân ban và đào tạo	司和训
Vụ và Bộ	司和部
Sư đoàn và Lý	司和里
Sư phụ đang ở đây.	司在儿
Sư đoàn đang trong quá trình kinh	司在经
Stanazol	司坦唑
Si Tai Li	司太立
Vụ án này	司对本
Công ty sẽ	司将会
Tổng phụ của công ty	司小计
Công ty sẽ	司就会
Cấp cục, vụ	司局级
Giám đốc Sở	司局长
Bộ phận cần phối hợp với	司应同
Cung điện Sikang	司康宫
Szeto Hua	司徒华
Công việc của bộ phận	司所作
Theo quy định của Bộ	司所定
Công ty được thành lập	司所设
Công ty đã đưa ra	司所起
Vụ mới xuất hiện	司新现
Công ty mới thành lập	司新设
Xác nhận của Bộ phận	司核证
Stendhal	司汤达
Sở Tư pháp	司法厅
Cán bộ tư pháp	司法官
Cung Công lý	司法宫
Cục Tư pháp	司法局
Quyền lực tư pháp	司法权
Ngành tư pháp	司法界
Bộ Tư pháp	司法部
Bộ Tư pháp	司法院
Người thợ lò	司炉工
Sau khi Siqiong	司琼后
Si Qiong Shi	司琼时
Phim Siqiong	司琼片
Si Qiongxi	司琼细
Sĩ John	司约翰
Phân ban chuyển giao	司转划
Giám đốc cấp	司长级
Người gác cổng	司闸员
Liên bộ phận	司际间
Si Yajie	司雅杰
Tư Mã Ý	司马义
Tư Mã Nam	司马南
Tiếng thở dài	叹息声
Ăn bảy phần.	吃七份
Ăn ba đến	吃三到
Không ăn được.	吃不上
Không ăn được.	吃不下
Không chắc chắn	吃不准
Không thể ăn hết	吃不完
Quá sức chịu đựng	吃不消
Không đủ khả năng chi trả	吃不起
Không đủ ăn	吃不饱
Ăn thua rồi.	吃了亏
Sau khi ăn cơm	吃了饭
Ăn năm đến	吃五到
Ăn thịt người	吃人肉
Ăn sáu đến	吃六到
Ăn sáu bữa	吃六顿
Ăn Waffle đi.	吃华夫
Ăn phân	吃大便
Ăn quá nhiều	吃太多
Ăn quá ít	吃太少
Một bữa ăn ngon	吃好饭
Sau bữa ăn	吃完饭
Ăn tối	吃宵夜
Ăn một phần nhỏ	吃小份
Ăn được rồi.	吃得下
Ăn ngon miệng	吃得开
Có đủ khả năng chi trả	吃得起
Ăn no đủ	吃得饱
Ăn thức ăn nhanh	吃快餐
Ăn tối đi.	吃晚饭
Ăn nấm cục	吃松露
Ăn Gran đi.	吃格兰
Ăn hoa quả	吃水果
Đường nước	吃水线
Lượng nước ăn	吃水量
Ăn ở biển	吃海中
Ăn hải sản	吃海鲜
Ăn lẩu	吃火锅
Lễ hội ăn thịt chó	吃狗节
Ăn sẵn	吃现成
Ăn thức ăn miễn phí	吃白食
Ăn linh dương	吃瞪羚
Ăn thịt đỏ	吃红肉
Ăn thịt sẽ	吃肉会
Ăn thịt độc	吃肉毒
Đau đáu nỗi đau	吃苦头
Sau khi uống thuốc	吃药后
Khi uống thuốc	吃药时
Ăn philic	吃菲力
Ăn cua	吃螃蟹
Ăn đậu phụ	吃豆腐
Đã ăn cơm rồi.	吃过饭
Ăn tuyết sẽ	吃雪会
Ăn vặt	吃零食
Ăn bánh bao	吃饺子
Ăn gan ngỗng	吃鹅肝
Mỗi người một	各一人
Không giới hạn mỗi	各不限
Mỗi người hai người.	各两人
Các xã, thị trấn	各乡镇
Mỗi giai đoạn sữa	各乳期
Mỗi người năm người.	各五人
Các tiểu vùng	各亚区
Tất cả các loại phụ	各亚类
Mỗi phân nhóm	各亚组
Mỗi phân nhóm	各亚群
Tất cả các thế hệ	各代人
Giữa các thế hệ	各代间
Mỗi trạng thái hóa trị	各价态
Tùy chọn	各任择
Trước mỗi kỳ họp	各会前
Kinh phí mỗi	各供资
Tùy theo từng	各依其
Các đảng phái	各党派
Tất cả các loại vũ khí	各兵种
Các quân khu	各军区
Các bộ phận	各分部
Mỗi ống hóa chất	各化管
Mỗi mặt hàng riêng lẻ	各单项
Tất cả phía nam và phía nam	各南南
Mỗi người chiếm một	各占全
Mỗi người chiếm	各占到
Mỗi người chiếm khoảng	各占约
Mỗi người chiếm	各占该
Mỗi nước chiếm gần	各占近
Các quận, huyện	各县区
Các quận, huyện, thành phố	各县市
Các cảng	各口岸
Tùy chọn mỗi	各可选
Giữa các bộ phận	各司间
Tất cả hướng ra bên ngoài	各向外
Các chất lỏng hương vị khác nhau	各味液
Các cơ quan	各器官
Mỗi vòng đấu	各回合
Các trung đoàn, tiểu đoàn	各团营
Mỗi người trong lực lượng	各在役
Người dân thành phố Cốt-ta-pư	各坦人
Các giáo xứ	各堂区
Tất cả các phòng	各处室
Nhiều quốc gia	各多国
Các đại gia đình nuôi	各大养
Các bang lớn	各大州
Các tờ báo lớn	各大报
Tất cả các loại hình chính	各大类
Các nhóm lớn	各大组
Tất cả các ngành học	各学科
Mỗi đường dẫn	各导通
Mỗi phân khúc nhỏ	各小段
Tất cả các hạng mục phụ	各小类
Mỗi người một việc.	各尽其
Các trình tự	各层序
Tất cả các cấp	各层次
Giữa các lớp	各层间
Tất cả các quần thể	各居群
Mỗi phiên	各届会
Mỗi phiên thường	各届常
Tiếp tục mỗi phiên	各届续
Giữa các chi	各属间
Các đảo	各岛屿
Giữa các đảo	各岛间
Mỗi đại lý lao động	各工代
Các loại công việc	各工种
Tất cả các loại tiền tệ	各币种
Các quận nội thành	各市区
Các thành phố và quận	各市县
Các băng nhóm	各帮派
Tất cả các cấp học	各年级
Mỗi năm công nhận	各年认
Các quận, huyện Đức	各德县
Tất cả các khu vực	各总区
Trụ sở các	各总部
Mỗi lần ghi bàn	各打进
Mỗi lần gửi tiền lưu ký	各托存
Lựa chọn kỹ thuật	各技选
Mỗi người một tay.	各拿着
Mỗi người nhặt một	各拿起
Mỗi người một lần.	各拿过
Các ngành, các	各支部
Đặt chúng lên.	各放上
Các đảng phái chính trị	各政党
Các tỉnh, thành phố trực thuộc Trung ương	各教省
Mỗi thiết lập mới	各新设
Các bên đều có quan điểm về	各方对
Mỗi ngày tuổi	各日龄
Múi giờ	各时区
Các tạp chí	各期刊
Các thủ thuật khác nhau	各术式
Các thông tin liên lạc	各来文
Mỗi lâm phần	各林分
Các nhóm hạt nhân	各核团
Tất cả các tầng	各楼层
Mỗi lần thường	各次常
Các đảng phái chính	各正党
Thực hiện từng bước	各步作
Mỗi đoạn văn	各段落
Các Hãn quốc	各汗国
Các hệ thống pháp luật khác nhau	各法系
Mỗi bãi biển	各泳滩
Mỗi lớp nguồn	各源类
Mỗi điểm được thực hiện	各点作
Mỗi lần kiểm phiếu	各点票
Mỗi lần xuất bản	各版时
Mỗi kiểu răng	各牙型
Tất cả các mặt hàng	各物项
Mỗi ca	各班次
Tất cả các lớp học	各班级
Tất cả các loại bệnh	各病型
Mỗi khu vực giam giữ	各监区
Mỗi đơn vị trực thuộc	各直属
Trong mỗi giai đoạn	各相中
Mỗi giai đoạn đều	各相均
Các tỉnh, thành	各省县
Các tỉnh, thành phố	各省市
Mỗi dòng đỏ	各红系
Mỗi đường dây	各线路
Mỗi cột	各细列
Tất cả các loại công việc	各职类
Mỗi đoạn ruột	各肠段
Mỗi tuổi thai	各胎龄
Mỗi vùng não	各脑区
Mỗi buồng	各腔室
Mỗi lớp phim	各膜层
Mỗi chặng bay	各航段
Mỗi phần được thực hiện	各节作
Mỗi loài cỏ	各草种
Mỗi món ăn	各菜式
Các tuyến phố	各街道
Trong mỗi bảng	各表中
Mỗi bảng được	各表为
Trong mỗi bảng	各表内
Các bảng và	各表及
Mỗi bảng đều	各表均
Tất cả các bàn	各表所
Mỗi bảng được	各表是
Các bảng đến	各表来
Mỗi khung	各表框
Mỗi điểm góc	各角点
Mỗi loại hội chứng	各证型
Mỗi vùng ngôn ngữ	各语区
Mỗi người được mời mua	各请购
Các khối thi	各赛区
Trên mỗi trục	各轴上
Giữa các trục	各轴间
Các quốc gia nên	各邦应
Các bộ, ngành	各部委
Nợ nần chồng chất mỗi	各重债
Các tầng lớp nhân dân	各阶层
Các sở, ban, ngành	各院系
Mỗi bãi mìn	各雷场
Tất cả người Mỹ gốc Phi	各非裔
Tất cả mọi người, Mai-cơn.	各马伊
Không thể kết hợp được.	合不上
Không thể hòa hợp được.	合不来
Hợp chủng quốc Hoa Kỳ	合众国
United Press	合众社
Đối tác	合伙人
Hệ thống công ty hợp danh	合伙制
Hệ thống hợp tác xã	合作制
Hợp tác xã	合作化
Văn phòng Hợp tác xã	合作厅
Cơ quan hợp tác	合作局
Sự hợp tác	合作性
Các đối tác	合作方
Hợp tác xã	合作社
Mạng lưới hợp tác xã	合作网
Cộng tác viên	合作者
Cục Hợp tác	合作部
Hợp tác xã thị trấn	合作镇
Phương pháp kết hợp	合化法
Hợp khẩu vị	合口味
Hợp đồng	合同书
Giá hợp đồng	合同价
Hệ thống hợp đồng	合同制
Nhà thầu	合同商
Lao động hợp đồng	合同工
Thời hạn hợp đồng	合同期
Luật Hợp đồng	合同法
Số tiền hợp đồng	合同额
Hội nghị Hợp	合和会
Dàn hợp xướng	合唱团
Hợp xướng	合唱曲
Nhóm hợp xướng	合唱组
Liên hoan hợp xướng	合唱节
Dàn hợp xướng	合唱队
Bản hòa tấu	合奏曲
Tính hợp hiến	合宪性
Lễ hội gia đình	合家欢
Trường hợp sáp nhập	合并案
Bệnh đi kèm	合并症
Những người hợp nhất	合并者
Hòa hợp với nhau	合得来
Mũi Horn	合恩角
Có lý, có tình	合情理
Cơ thể tổng hợp	合成体
Bộ tổng hợp	合成器
Sơ đồ tổng hợp	合成图
Máy tổng hợp	合成机
Khí tổng hợp	合成气
Amoniac tổng hợp	合成氨
Vật liệu tổng hợp	合成物
Giấy tổng hợp	合成纸
Ma túy tổng hợp	合成药
Từ ghép	合成词
Synthase	合成酶
Da tổng hợp	合成革
Hợp tác làm phim	合拍片
