Một chút thôi.	一下
Hướng Nam	南行
Phía nam	南边
Nam Di	南迪
Nam Bộ	南部
Cửa Nam	南门
Nam Phi	南非
Phía nam	南面
Hàn Quốc	南韩
Blogger	博主
Boren	博伦
Bok	博克
Bolan	博兰
Bonnet.	博内
Khu vực Bờ	博区
Tiến sĩ	博士
Bov	博夫
Blog	博客
Bor	博尔
Trò chơi	博弈
Cá độ	博彩
Bode	博德
Bora	博拉
Bài đăng trên blog	博文
Boss	博斯
Bosch	博施
Boleyn	博林
Borg.	博格
Bot	博特
Theo ông Bo,	博称
Bona.	博纳
Boro	博罗
Boye	博耶
Bolai	博莱
Bosa.	博萨
Bottie.	博蒂
Bossi.	博西
Ông Bo cho biết	博说
Bo Long	博龙
Cảng Bu	卜港
Tỉnh Bu	卜省
Chiếm ưu thế	占优
Chiếm dụng	占据
Sở hữu	占有
Việc chiếm dụng	占用
Việc chiếm đóng	占领
Trên thẻ	卡上
Cardin	卡丹
Kaya	卡亚
Cash.	卡什
Kay.	卡伊
Karen.	卡伦
Bị mắc kẹt	卡住
Kali.	卡利
Khu vực thẻ	卡区
Cata.	卡塔
Kraft	卡夫
Cam	卡姆
Kẹp	卡子
Cayenne	卡宴
Carl.	卡尔
Carney.	卡尼
Capa	卡帕
Carver	卡弗
Card	卡德
Kahn	卡恩
Cato	卡托
Carla.	卡拉
Calvin.	卡文
Cass	卡斯
Caen	卡昂
Cumming.	卡明
Cà Mau	卡普
Casson.	卡松
Carlin.	卡林
Carson.	卡森
Bị mắc kẹt đến chết	卡死
Kabi.	卡比
Carlo.	卡洛
Những lá bài	卡片
Carter.	卡特
Karin.	卡琳
Kava	卡瓦
Carden.	卡登
Carvey	卡维
Carlo.	卡罗
Ca trù	卡胡
Katz.	卡茨
Calley.	卡莱
Katie.	卡蒂
Tiếng khèn	卡语
Kano.	卡诺
Xe tải	卡车
Kada	卡达
Cuddy.	卡迪
Phim hoạt hình	卡通
Cary	卡里
Caron	卡隆
Khare.	卡雷
Caroo.	卡鲁
Lực	卢克
Luca.	卢卡
Luch	卢奇
Lur	卢尔
Đồng rúp	卢布
Lula.	卢拉
Luce.	卢斯
Lưu Vương	卢旺
Lugar	卢格
Đồng rupee	卢比
Lupo	卢波
Luper.	卢珀
Luther.	卢瑟
Lutz	卢茨
Lusa	卢萨
Ông Lou cho biết,	卢说
Luton	卢顿
Halogen hóa	卤化
Nước muối	卤水
Nước xốt	卤汁
Halogen	卤素
Phòng ngủ	卧室
Bí mật	卧底
Giường nằm	卧铺
Người bảo vệ	卫兵
Bảo vệ danh hiệu	卫冕
Người bảo vệ	卫士
Người bảo vệ	卫报
Vệ tinh	卫星
Vệ sinh môi trường	卫生
Lực lượng bảo vệ	卫队
In ấn	印制
In ấn	印刷
Ban hành và phát hành	印发
Indonesia	印尼
Ấn Độ	印度
được in trên	印有
Bản in	印本
Tấm in	印版
Con dấu	印玺
Con dấu	印章
In ấn	印花
Dấu ấn	印记
Ấn tượng	印象
Dấu ấn	印迹
Trang in	印页
Vùng nguy hiểm	危区
Nguy hiểm	危及
Tác hại	危害
Cuộc khủng hoảng	危急
Cuộc khủng hoảng	危机
Nguy hiểm	危殆
đang trong tình trạng nguy kịch.	危重
Nguy hiểm	危险
Cuộc khủng hoảng	危难
Lên ngôi	即位
Ngay cả khi	即使
Tóm tắt	即决
Được rồi.	即可
Cụ thể là mực	即墨
Trước mắt,	即时
Tuy nhiên,	却是
Sự ngăn cản	却步
Trứng	卵子
Buồng trứng	卵巢
Số lượng trứng	卵数
Sự tham gia của	卷入
Tóc xoăn	卷发
Hồ sơ	卷宗
Số lượng tập	卷数
Cuộn tròn	卷曲
Vật liệu cuộn	卷材
Số lần tập	卷次
Thuốc lá điếu	卷烟
Những cuộn phim	卷片
Cuộn giấy	卷筒
Cuộn giấy tờ	卷装
Cuộn lại	卷起
Cuộn giấy	卷轴
Tua cuốn	卷须
Bánh burrito	卷饼
Bỏ xuống	卸下
Từ chức	卸任
Dỡ hàng	卸货
Gỡ cài đặt	卸载
Các nhà sản xuất	厂商
Địa chỉ nhà máy	厂址
Các nhà sản xuất	厂家
Nhà máy sản xuất	厂房
Um.	厄姆
Earl.	厄尔
Us.	厄斯
Urban	厄本
Usher.	厄舍
Erty.	厄蒂
Vận rủi	厄运
Giám đốc Sở	厅长
Lịch sử	历史
Những năm qua	历年
Những ngày dương lịch	历日
Hành trình	历程
Cuộc phiêu lưu	历险
Thật tuyệt vời.	厉害
Những vết bầm dập	压伤
Đẩy xuống	压低
Giữ chặt	压住
Sự áp đảo	压倒
đàn áp	压制
Áp lực	压力
Bị đè bẹp	压坏
Nghiền nát	压垮
Công tác đầm nén	压实
Làm phẳng	压扁
Trầm cảm	压抑
Phá vỡ	压断
Báo chí	压机
Việc ép	压榨
Bị đè chết	压死
Đánh lửa nén	压燃
Vết lõm	压痕
Nhức nhối nỗi đau	压痛
Nghiền nát	压碎
Nén	压缩
Dập nổi	压花
Sự đứt gãy	压裂
Vòng chung kết	压轴
Dằn tàu	压载
Sự áp bức	压迫
Giảm áp suất	压降
Mệt mỏi	厌倦
Khốn nạn.	厌女
Ghê tởm	厌恶
Chán nản	厌烦
Nhà vệ sinh	厕所
Giấy vệ sinh	厕纸
Xác định	厘定
Cm	厘米
Độ dày	厚度
Những kỳ vọng lớn lao	厚望
Nước ép đặc	厚汁
Những lát dày	厚片
Màng dày	厚膜
Nguồn gốc xuất xứ	原产
Bản gốc	原件
Tại chỗ	原位
Bản gốc	原作
Giá trị ban đầu	原值
Bản gốc	原刊
Nguyên tắc	原则
Nguyên bản	原创
Bản án ban đầu	原判
Lực lượng	原力
Nguyên đơn	原告
Nguyên nhân	原因
Nước gốc	原国
Hình ảnh gốc	原图
Tại chỗ	原地
Nguyên mẫu	原型
Tại chỗ	原处
Nguyên	原始
Nguyên nhân ban đầu	原委
Nguyên tử	原子
Bài gốc	原帖
Nguyên mẫu	原形
Văn bản gốc	原文
Nguyên liệu thô	原料
Các khúc gỗ	原木
Nguyên trạng như hiện nay.	原样
Lông thô	原毛
Dầu thô	原油
Bột giấy	原浆
Dung dịch gốc	原液
Nguồn gốc xuất xứ	原点
Khói nguyên liệu	原烟
Bản gốc	原版
Tình trạng ban đầu	原状
Nguyên tắc	原理
Nguyên nhân ban đầu	原由
Bản thảo	原稿
Nguồn gốc xuất xứ	原籍
Đường thô	原糖
Nguyên văn từ	原话
Tha thứ	原谅
Hình dáng ban đầu	原貌
Bản gốc	原载
Cánh đồng hoang vu	原野
Phòng cánh	厢房
Hạ Môn	厦门
Đồ dùng nhà bếp	厨具
Đầu bếp	厨师
Nhà bếp	厨房
Tủ bếp	厨柜
Đánh nhau	厮打
Chiến đấu với nhau	厮杀
Cái chết của	去世
Đi đâu?	去向
Đi đâu cũng được	去处
Năm ngoái,	去年
Loại bỏ	去掉
Phi hạt nhân hóa	去核
Khử nhiễm	去污
Đi và ở lại	去留
Bóc vỏ	去皮
Những con đường đi	去路
Loại bỏ	去除
Lãnh đạo quận	县长
Sự tham gia của	参与
Cố vấn	参事
Tham dự hội nghị	参会
Tham gia bảo hiểm	参保
Tham gia quân đội	参军
Sự tham gia của	参加
Lộn xộn	参半
Sam-sôn.	参孙
Tham gia vào cuộc chiến	参战
Tham quan, chiêm bái	参拜
Tham gia chính trị	参政
Các thông số	参数
Tham gia biểu diễn	参演
Tham khảo	参照
Tham khảo	参考
Tham gia cổ phần	参股
Xem	参见
Tham quan	参观
Cán bộ, nhân viên	参谋
Cuộc thi	参赛
Tham tán	参赞
Tham gia tranh cử	参选
Còn được gọi là	又名
Cái nĩa	叉子
Xe nâng hàng	叉车
Râu nĩa	叉须
Của họ.	及其
Và phía Bắc	及北
Và căn cứ	及基
Và tình dục	及性
Trong thời gian	及时
Và gốc rễ	及根
Vượt qua	及格
Và nước	及水
Và các cơ quan	及社
Và bàn	及表
Những người bạn	友人
Thân thiện	友善
Thân thiện	友好
Tình bạn	友情
Bạn và thù	友敌
Câu lạc bộ bạn bè	友社
Tình hữu nghị	友谊
Cả bố và mẹ	双亲
Đôi nam nữ	双人
Nhân đôi	双倍
Bấm đúp	双击
Đôi môi	双唇
Hai phương thức	双峰
Hai chỗ ngồi	双座
Đôi bàn tay	双手
Đôi nam nữ	双打
Hai ngón tay	双指
Vật liệu kép	双料
Cả hai bên	双方
Giết gấp đôi	双杀
Súng đôi	双枪
Hai mái chèo	双桨
Vịnh đôi	双湾
Điểm kép	双点
Đôi ngói	双瓦
Đôi mắt	双眼
Hai đầu cuối	双端
Ống đôi	双管
Diose	双糖
Đường đôi	双线
Sinh đôi	双胎
Đôi chân	双脚
Đôi chân	双腿
Hai đầu gối	双膝
Hai cánh tay	双臂
Đôi bên cùng có lợi	双赢
Song phương	双边
Diester	双酯
Đôi vàng	双金
Giảm gấp đôi	双降
Sương giá đôi	双霜
Đôi giày	双鞋
Chuyến bay đôi	双飞
Sự giật lùi	反冲
Phản công	反击
Nhai lại	反刍
Các biện pháp đối phó	反制
Phản lực	反力
Cuộc nổi loạn	反叛
Đảo ngược	反向
Phản ứng	反响
Phản đối	反对
Phản ánh	反射
Sự tương phản	反差
Phản ứng	反应
Tăng trở lại	反弹
Suy ngẫm về	反思
Chống khủng bố	反恐
Sự hối hận	反悔
Phản cảm	反感
Trái tay	反手
Phản công	反扑
Kháng chiến chống	反抗
Phản công	反攻
Phản ánh	反映
Nhân vật phản diện	反派
Nội tâm	反省
Buồn nôn	反胃
Chống tham nhũng	反腐
Chống lại	反致
Chống Anh	反英
Sự mỉa mai	反讽
Yêu cầu phản tố	反诉
Đảo ngược	反转
Xẻng ngược	反铲
Câu hỏi tu từ	反问
Mặt trái	反面
Phản hồi	反馈
Phản bác lại	反驳
Những sợi tóc	发丝
đã gửi đi.	发了
Tỏa sáng	发亮
Các cuộc tấn công	发作
Gửi thư	发信
Tỏa sáng	发光
ớn lạnh	发冷
Ban hành	发出
Bàn chải tóc	发刷
Lực lượng	发力
Lơ lửng	发呆
Bán hàng	发售
Máy làm tóc	发器
Gửi về	发回
Kiểu tóc	发型
Tiếng nói	发声
Kẹp tóc	发夹
Để tạo sức mạnh	发威
Tài sản	发家
Phát động	发射
Phát triển	发展
Công bố	发布
Bài viết	发帖
Băng đô	发带
Tiệm làm tóc	发廊
Giận dữ	发怒
Động dục	发情
Rùng mình	发抖
Phát huy tác dụng	发挥
Khai quật	发掘
Ban hành	发放
Sự phân kỳ	发散
Việc ban hành văn bản	发文
Phát minh	发明
Để trút bầu tâm sự	发泄
Tạo bọt	发泡
Sự tức giận	发火
Tình trạng viêm nhiễm	发炎
Cơn sốt	发烧
Sốt	发热
Cấp phép	发牌
Điên cuồng	发狂
Phát hiện	发现
Giao bóng	发球
Xảy ra	发生
Sản xuất điện	发电
Điên cuồng	发疯
Sự khởi phát của	发病
Ngứa	发痒
Hóa đơn	发票
Việc xuất bản	发稿
Khởi đầu	发端
Cười lên	发笑
Băng buộc tóc	发箍
Tím tái	发紫
Màu đỏ	发红
Cấp cho	发给
Mạng lưới tóc	发网
Phát triển	发育
Tăng cân	发胖
Keo xịt tóc	发胶
Bốc mùi hôi thối	发臭
Màu tóc	发色
Nồi mầm	发芽
Việc trả lương	发薪
Ban hành	发行
Công bố	发表
Phát biểu ý kiến	发言
Thề có thề	发誓
Việc cấp giấy chứng nhận	发证
Làm giàu	发财
Các lô hàng	发货
Phát động	发起
Khởi động	发车
Bím tóc	发辫
Phát triển tốt	发达
Vận chuyển	发运
Trả lại	发还
Gửi	发送
Lên men	发酵
Đặt câu hỏi	发问
Cuộc tấn công	发难
Mốc mốc	发霉
Màu xanh lá cây	发青
Phát âm	发音
Điên cuồng	发飙
Búi tóc	发髻
Màu đen	发黑
Bác	叔叔
Bỏ xuống	取下
Cho vui.	取乐
Thay thế	取代
Lấy ra	取出
Đặt tên cho	取名
Định hướng	取向
Lấy lại	取回
Để đạt được	取得
Để làm hài lòng	取悦
Xem lại	取景
Sưởi ấm	取暖
Lấy mẫu	取样
Rút tiền	取款
Lấy nước	取水
Hủy bỏ	取消
Rút tiền mặt	取现
Tiếp cận	取用
Làm trò cười	取笑
Cấm	取缔
Chiến thắng	取胜
Lấy từ	取自
Sự đánh đổi	取舍
Lấy chứng cứ	取证
Đối tượng khán giả	受众
Bị thương	受伤
Các thụ thể	受体
Bị đóng băng	受冻
Bị trừng phạt	受刑
Bị tổn thương	受创
Bị ảnh hưởng bởi	受到
Được vinh danh	受勋
Áp lực	受压
Bị mắc kẹt	受困
Được nhận giải thưởng	受奖
Việc thụ thai	受孕
Bị đưa ra xét xử	受审
Nạn nhân	受害
Bị thiệt hại	受屈
Sợ hãi	受惊
Được hưởng lợi từ	受惠
Bức xúc	受挫
Bị thiệt hại	受损
Được ủy quyền	受权
Làm lễ rửa tội	受洗
Bị ảnh hưởng	受灾
Việc chấp nhận	受理
Lợi ích	受益
Sự thụ tinh	受精
Bị phạt	受罚
Bị thiệt hại	受苦
Tập huấn	受训
Nhận hối lộ	受贿
Bị sỉ nhục	受辱
Được mời	受邀
Bị cản trở	受阻
Hạn chế	受限
Bị thiệt hại	受难
Việc làm	受雇
Bị lừa đảo	受骗
Trở thành	变为
Làm sáng lên	变亮
Các biến thể	变体
Trời trở lạnh	变冷
Trở nên mát mẻ hơn	变凉
Thay đổi	变动
Thay đổi	变化
Xuống cấp.	变坏
Biến thể	变型
Trở nên lớn hơn	变大
Trở nên nhỏ hơn.	变小
Trở nên tồi tệ hơn.	变差
Khô khô	变干
Sự biến đổi	变异
Các biến thể	变式
Trở nên yếu ớt.	变弱
Biến dạng	变形
Trở thành	变得
Biến thái	变态
Thoái hóa	变性
Chậm hơn	变慢
Trở nên lười biếng	变懒
Trở thành	变成
Chuyển đổi	变换
Các biến số	变数
Sự nóng lên của	变暖
Làm tối màu	变暗
Thay đổi	变更
Làm ướt	变湿
Trở nên nóng bỏng.	变热
Thu phóng	变焦
Các biến thể	变物
Thực hiện	变现
Gầy đi.	变瘦
Chuyển sang màu trắng	变白
Thẳng thắn	变直
Rút ngắn hơn	变短
Làm cứng lại	变硬
Các biến thể	变种
Thu hẹp	变窄
Thắt chặt hơn	变紧
Chuyển sang màu tím	变紫
Chuyển sang màu đỏ	变红
Chuyển sang màu xanh	变绿
Thay đổi vẻ đẹp	变美
Ngày càng già đi	变老
Thay đổi diện mạo	变脸
Thay đổi màu sắc	变色
Sự bội đạo	变节
Chuyển sang màu xanh	变蓝
Làm mỏng đi	变薄
Trang phục biến tấu	变装
Tình trạng xuống cấp	变质
Biến hình	变身
Nhẹ nhàng hơn	变软
Thay đổi	变迁
Sự linh hoạt	变通
Chuyển làn	变道
Thay đổi axit	变酸
Các biến số	变量
Mảng biến đổi	变阵
Thay đổi	变革
Các biến số	变项
Chuyển sang màu đen	变黑
Tường thuật	叙事
Quân đội Syria	叙军
Syria	叙利
Hồi tưởng về quá khứ	叙旧
Phân loại	叙级
Lời tường thuật	叙述
Cuộc nổi loạn	叛乱
Lực lượng nổi dậy	叛军
Cuộc binh biến	叛变
Phản quốc	叛国
Kẻ phản bội	叛徒
đào ngũ	叛逃
Nổi loạn	叛逆
Xếp chồng lên nhau	叠加
Miệng giếng	口井
Quan hệ tình dục bằng miệng	口交
Miệng người	口人
Lời thú tội	口供
Thông điệp	口信
Khẩu hiệu	口号
Nói lắp	口吃
Giọng điệu	口吻
Hương vị	口味
Tiếng còi	口哨
Bằng lời nói	口头
Lỗ hổng	口子
Cảng biển	口岸
Cỡ nòng	口径
Hương vị	口感
Tài hùng biện	口才
Giọng điệu	口气
Nước dãi	口水
Khát nước	口渴
Viêm miệng	口炎
Kèn harmonica	口琴
Miệng miệng	口盖
Khẩu phần ăn	口粮
Son môi	口红
Khẩu trang	口罩
Miệng	口腔
Hôi miệng	口臭
Miệng lưỡi	口舌
Túi tiền	口袋
Những cuộc cãi vã	口角
Phiên dịch	口译
Ngôn ngữ nói	口语
Giọng nói	口音
Cổ điển	古典
Guli.	古利
Cuộn giấy cổ	古卷
Thành phố cổ kính	古城
Thành cổ	古堡
Những ngôi mộ cổ	古墓
Gucci	古奇
Gul	古尔
Cuba	古巴
Ngôi chùa cổ kính	古庙
Goode	古德
Lạ lùng	古怪
Gula.	古拉
Coca	古柯
Cổ vật	古物
Gut	古特
Cổ xưa.	古老
Những con tàu cổ	古船
Cổ vật	古董
Guda	古达
Goody.	古迪
Các di tích lịch sử	古迹
Guri	古里
Phố cổ	古镇
Cổ kính và tao nhã.	古雅
Gummer.	古默
Giai đoạn kết thúc	句号
Những câu	句子
Cú pháp	句法
Một công việc khác	另作
Ngoài ra,	另外
Thay thế	另类
Chỉ nên	只应
Chỉ một bàn tay	只手
Chỉ có điều	只是
Chỉ có	只有
Một con chó	只狗
Chỉ có thể	只能
Miễn là	只要
Một con chim	只鸟
Một con ngỗng.	只鹅
Dừng lại	叫停
Gọi điện thoại đi.	叫唤
Tiếng la hét	叫喊
Tiếng ồn ào	叫嚣
Tiếng kêu	叫声
Chào mừng.	叫好
Kêu oan cho	叫屈
Tỉnh dậy đi.	叫醒
Gọi đi.	召去
Lời kêu gọi	召唤
Thu hồi	召回
được tổ chức với sự tham gia của	召开
Gọi lại đây.	召来
Triệu tập	召见
Triệu tập	召集
Đinh Đông	叮咚
Vết cắn	叮咬
Coke	可乐
Có thể	可以
Có thể sống được.	可住
đáng tin cậy.	可信
Kerr.	可儿
Mong muốn	可取
Biến	可变
Ngon lắm.	可口
Ca cao	可可
Có thể tìm thấy	可寻
Có thể trở lại	可归
Khủng khiếp.	可怕
Thật đáng thương.	可怜
Buồn thay	可悲
Thật đáng tiếc khi	可惜
Có thể kiểm soát được	可控
Tuy nhiên,	可是
Khả Hãn	可汗
Có thể bơi	可游
Hòa tan	可溶
Dễ thương quá.	可爱
Hiện có	可用
Nghi ngờ	可疑
Có thể thấy,	可知
Thật nực cười.	可笑
Thật đáng xấu hổ.	可耻
Có thể	可能
Tính khả thi	可行
Có thể thấy	可见
Thật đáng trân trọng	可观
Có thể nói là	可言
Có thể điều chỉnh	可调
Có thể đảo ngược	可逆
Tùy chọn	可选
đáng tin cậy.	可靠
Trên sân khấu	台上
Dưới sân khấu	台下
Trước sân khấu	台前
Đài Bắc	台北
Nền tảng	台地
Đô la Đài Loan	台币
Số lượng các đơn vị	台数
Giá đỡ	台架
Đài Loan	台湾
Đèn bàn	台灯
Bi sắt	台球
Các trạm	台站
Mạng lưới trạm	台网
Những dòng	台词
Giám đốc	台长
Bước chân	台阶
Mặt bàn	台面
Cơn bão	台风
Sách lịch sử	史书
SK.	史克
Biên niên sử lịch sử	史册
Sử thi	史诗
Thứ hai từ phải sang	右二
Bên phải	右侧
Nghiêng sang phải	右倾
Phía sau bên phải	右后
Hình ảnh bên phải	右图
Tay phải	右手
Cánh hữu	右派
Mắt phải	右眼
Cánh hữu	右翼
Chân phải	右脚
Cánh tay phải	右臂
Bên phải	右路
Rẽ phải	右转
Bên phải	右边
Ye Man	叶人
Những chiếc lá	叶子
Những chiếc lá	叶片
Voọc	叶猴
Yeats	叶芝
Chè lá	叶茶
Rau ăn lá	叶菜
Ong lá	叶蜂
Rầy chổng cánh	叶蝉
Cánh quạt	叶轮
Axit folic	叶酸
Mặt lá	叶面
Rùa lá	叶龟
Mệnh lệnh	号令
Số lượng vị trí	号位
Khu vực số	号区
Lời kêu gọi	号召
Phòng số	号室
Phòng số	号房
Người thổi kèn	号手
Số lượng	号数
Ngôi sao số	号星
Tòa nhà số	号楼
Luật số	号法
Biển số	号牌
Những con số	号码
Hộp số	号箱
Đường dây số	号线
Những chiếc sừng	号角
Trận đấu số	号赛
Cửa số	号门
Chỉ huy trưởng	司令
Bộ phận	司处
Thủ quỹ	司库
Người lái xe	司机
Công lý	司法
Giám đốc	司长
Thở dài	叹息
Bị thiệt hại	吃亏
Khó khăn vất vả	吃力
ăn uống	吃喝
Ngạc nhiên	吃惊
Để ăn	吃掉
Mớn nước	吃水
Cách ăn uống	吃法
Ăn muối	吃盐
Ăn chay	吃素
Siết chặt	吃紧
Uống thuốc	吃药
Ghen tuông	吃醋
Bữa cơm	吃饭
Ăn no	吃饱
Mỗi cá nhân	各个
Tất cả mọi người	各位
Các quận, huyện	各区
Mỗi tập	各卷
Các quận, huyện	各县
Các bộ phận	各司
Các nước	各国
Các địa phương	各地
Khắp nơi	各处
Các cục, vụ	各局
Các bang	各州
Sự khác biệt	各异
Tất cả các loại	各式
Tất cả các bên	各方
Các bài báo khác nhau	各条
Mỗi cột	各栏
Các đoạn văn	各款
Mỗi đoạn văn	各段
Các phe phái	各派
Mỗi điểm	各点
Các tỉnh thành	各省
Tất cả các loại	各种
Tất cả các đối tượng	各科
Các chương	各章
Tất cả các loại	各类
Các cấp, các ngành	各级
Các nhóm	各组
Mỗi người một	各自
Các phần	各节
Mỗi hàng	各行
Mỗi trục	各轴
Các bộ, ngành	各部
Các mặt hàng	各项
Trong một	合一
Nhân đôi	合乘
Sự hợp tác	合伙
Sự kết hợp	合体
Hợp tác	合作
Đồng sáng tác	合写
Hỗn hợp	合剂
Các lực lượng phối hợp	合力
đồng tổ chức	合办
Hợp đồng	合同
Hợp xướng	合唱
Hòa tấu	合奏
Sự kết hợp giữa	合并
Ảnh chụp	合影
Tổng hợp	合成
Đồng sản xuất	合拍
Trình độ chuyên môn, nghiệp vụ	合格
Tính hợp pháp	合法
Diễn xuất chung	合演
Ảnh chụp chung	合照
Hợp lý	合理
Sử dụng chung	合用
Hiệu quả về chi phí	合算
Hợp đồng	合约
đồng biên tập	合编
Hội tụ	合群
Đồng tác giả	合著
Tổ chức chôn cất chung	合葬
Việc tuân thủ	合规
Tổng cộng,	合计
Thông đồng	合谋
Liên doanh	合资
Vừa vặn	合身
Phù hợp với	合适
Hợp kim	合金
Cây đàn ghita	吉他
Gillon.	吉伦
Gillan	吉兰
Gillette	吉列
Gigi.	吉吉
Geeta.	吉塔
Jim.	吉姆
Keppel	吉宝
Jill	吉尔
Gibb.	吉布
Gene.	吉恩
Gila.	吉拉
Guise.	吉斯
Xe Jeep	吉普
Cát Long	吉朗
Git.	吉特
Jimmy.	吉米
Jeddah	吉达
Giri.	吉里
Cát Long	吉隆
Chia buồn	吊唁
Mặt dây chuyền	吊坠
Dây treo	吊带
Võng	吊床
Sự bùng nổ	吊杆
Móc treo	吊架
Cầu treo	吊桥
Treo cổ tự tử	吊死
Đèn chùm	吊灯
Giỏ treo cổ	吊篮
Sling	吊索
Các vỏ bọc	吊舱
Treo tàu	吊船
Nâng lên	吊起
Cần trục	吊车
Thu hồi	吊销
Trần treo	吊顶
Tương tự như trên	同上
Đồng nghĩa với	同义
Đồng Lộc	同乐
Các đồng nghiệp	同事
Các đồng phạm	同伙
Đồng hành	同伴
Đồng dư	同余
Đồng nghiệp	同侪
Đồng nghiệp	同僚
Đồng hóa	同化
Cùng một sân khấu	同台
Cùng tên	同名
Các bạn cùng lớp	同学
Sống chung	同居
Những người cùng phòng	同屋
Đồng chí	同志
Sự đồng cảm	同情
Đồng tình với	同意
Đồng cảm	同感
Trong khi đó,	同时
Cùng trường	同校
Tương tự như vậy	同样
Đồng bộ hóa	同步
Cùng tham quan	同游
Liên minh	同盟
Tương đương	同等
Cùng trình độ	同级
Cùng một nhóm	同组
Đồng bào	同胞
Đồng nghiệp	同行
Đồng lõa	同谋
Thù lao bình đẳng	同酬
Dưới cái tên	名下
Tên trong	名中
Tên gọi	名义
Người nổi tiếng	名人
Những kiệt tác	名作
Đội hình	名册
Danh sách	名单
Đầu bếp nổi tiếng	名厨
Tên gọi	名号
Thành phố nổi tiếng	名城
Danh Thắng	名堂
Danh tiếng	名声
Người nổi tiếng	名媛
Những cái tên	名字
Danh bạ	名录
Tên là	名是
Bài hát nổi tiếng	名曲
Danh tiếng	名望
Những ngôi trường danh tiếng	名校
Siêu mẫu	名模
Xếp hạng	名次
Danh tiếng	名气
Người nổi tiếng	名流
Danh thiếp	名片
Thương hiệu nổi tiếng	名牌
Những bức tranh nổi tiếng	名画
Tên gọi	名称
Những câu nói nổi tiếng	名言
Danh tiếng	名誉
Danh từ	名词
Những chiếc xe nổi tiếng	名车
Hạn ngạch	名额
Các thế hệ sau	后世
Thế hệ tương lai	后代
Phía sau	后侧
Sau khi cộng	后加
Sức chịu đựng	后劲
Công tác hậu cần	后勤
Hậu vệ	后卫
Hậu trường	后台
Mặt trận phía sau	后场
Dự phòng	后备
Ở phía sau	后头
Mẹ kế	后妈
Hậu cung	后宫
Những bước chân nối tiếp	后尘
Sau này nên	后应
Ghế sau	后座
Tòa án phía sau	后庭
Phong cách sau	后式
Hối hận	后悔
Hàng ghế sau	后排
Tiếp theo là	后接
Hỗ trợ	后援
Rút lui	后撤
Hậu phương	后方
Giai đoạn sau	后期
Hậu quả của việc	后果
Sự hậu thuẫn	后盾
Cửa sổ phía sau	后窗
Theo dõi	后续
Hậu tố	后缀
Sau này	后者
Lưng lưng	后背
Vòng eo sau	后腰
Hai chân sau	后腿
Hậu duệ	后裔
Góc sau	后角
Tái bút	后记
Chân sau	后躯
Bánh sau	后轮
Lùi lại	后退
Mặt sau	后部
Cửa sau	后门
Sân sau	后院
Phía sau	后面
Trang sau	后页
Bánh mì nướng	吐司
Mắc khạc	吐槽
Twain.	吐温
Khạc nhổ	吐痰
Hướng lên	向上
Đi xuống	向下
Hướng về phía	向个
Tiến lên phía trước	向前
Hướng ra bên ngoài	向外
Hướng dẫn viên	向导
Khao khát	向往
Hướng về biển	向海
Phía Tây	向西
Sợ hãi	吓人
Sợ hãi	吓倒
Sợ hãi	吓坏
Sợ hãi bỏ chạy	吓跑
Morpholine	吗啉
Morphine	吗啡
Quốc vương	君主
Keo kiệt	吝啬
Nuốt đi	吞下
Nuốt người	吞人
Nuốt	吞咽
Nuốt chửng	吞噬
Sự thôn tính	吞并
Nhấn chìm	吞没
Tiếng hát	吟唱
Tiếng sủa	吠叫
Pyrrole	吡咯
Pyridine	吡啶
Pyrazine	吡嗪
Quyền phủ quyết	否决
Nếu không thì	否则
Tiêu cực	否定
Không, không.	否是
Từ chối	否认
Trọng tải	吨位
Số lượng tấn	吨数
Tính theo tấn	吨计
Ý nghĩa	含义
Trong đó có	含有
Có chứa nước	含水
Với đường	含糖
Nội dung	含量
Có chứa sắt	含铁
Có chứa chì	含铅
Với xương	含骨
Khán giả	听众
Nghe vậy.	听到
Thính giác	听力
Lắng nghe	听取
Nghe này.	听听
Thiết bị cầm tay	听筒
Thính giác	听觉
Phiên điều trần	听讯
Các phiên điều trần	听证
Ngoan ngoãn	听话
Nghe các câu hỏi	听询
Nghe nói	听说
Nghe nói	听闻
Thông báo	启事
Khởi động	启动
Truyền cảm hứng	启发
Khai mạc	启幕
Kích hoạt	启用
Khai sáng	启示
Khởi động	启程
Ra khơi	启航
Khai sáng	启迪
Indole	吲哚
Cãi nhau	吵架
Tỉnh dậy đi.	吵醒
Tiếng ồn ào	吵闹
Hít vào	吸入
Sức hút	吸力
Hấp thụ	吸取
Mút	吸吮
Hút khô	吸干
Thu hút	吸引
Hấp thụ	吸收
Sử dụng ma túy	吸毒
Hít vào	吸气
Hít thở oxy	吸氧
Hút thuốc lá	吸烟
Cốc hút	吸盘
Ống hút	吸管
Hấp thụ	吸纳
Bệnh sán lá	吸虫
Hút máu	吸血
Hít đi	吸走
Hấp phụ	吸附
Hút thuốc	吸食
Thổi xuống	吹倒
Khoe khoang	吹嘘
Thổi khô	吹干
Những lời chào mời	吹捧
Thổi bay	吹掉
Thổi bay	吹气
Khoe khoang	吹牛
Ống thổi	吹管
Thổi qua	吹过
Hôn tạm biệt	吻别
Sự trùng khớp	吻合
Những vết sẹo	吻痕
Tiếng gầm rú	吼叫
Tiếng gầm rú	吼声
Chậm chạp	呆滞
